time,epoch,train_loss,val_loss,psnr,ssim,is_best,best_metric,best_metric_value,best_checkpoint
time=2025-10-14 10:27:11,epoch=159,train_loss=0.018508,val_loss=0.021810,psnr=26.090955,ssim=0.790546,is_best=False,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:28:51,epoch=160,train_loss=0.018511,val_loss=0.021715,psnr=26.102281,ssim=0.791083,is_best=False,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:30:31,epoch=161,train_loss=0.018480,val_loss=0.021746,psnr=26.092473,ssim=0.791868,is_best=False,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:32:11,epoch=162,train_loss=0.018447,val_loss=0.021725,psnr=26.098417,ssim=0.791545,is_best=False,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:33:51,epoch=163,train_loss=0.018459,val_loss=0.021674,psnr=26.118313,ssim=0.791454,is_best=False,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:35:30,epoch=164,train_loss=0.018422,val_loss=0.021730,psnr=26.079947,ssim=0.789814,is_best=False,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:37:10,epoch=165,train_loss=0.018410,val_loss=0.021636,psnr=26.159078,ssim=0.792352,is_best=True,best_metric=ssim,best_metric_value=0.792352,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:38:50,epoch=166,train_loss=0.018396,val_loss=0.021674,psnr=26.146019,ssim=0.792446,is_best=True,best_metric=ssim,best_metric_value=0.792446,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:40:30,epoch=167,train_loss=0.018369,val_loss=0.021687,psnr=26.128184,ssim=0.792306,is_best=False,best_metric=ssim,best_metric_value=0.792446,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:42:10,epoch=168,train_loss=0.018329,val_loss=0.021659,psnr=26.141263,ssim=0.792911,is_best=True,best_metric=ssim,best_metric_value=0.792911,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:43:50,epoch=169,train_loss=0.018342,val_loss=0.021693,psnr=26.117612,ssim=0.791607,is_best=False,best_metric=ssim,best_metric_value=0.792911,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:45:30,epoch=170,train_loss=0.018316,val_loss=0.021595,psnr=26.172025,ssim=0.793164,is_best=True,best_metric=ssim,best_metric_value=0.793164,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:47:10,epoch=171,train_loss=0.018285,val_loss=0.021672,psnr=26.110393,ssim=0.791693,is_best=False,best_metric=ssim,best_metric_value=0.793164,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
